Time,R0_team,R0_id,R0_x,R0_y,R0_theta,R1_team,R1_id,R1_x,R1_y,R1_theta,R2_team,R2_id,R2_x,R2_y,R2_theta
0.05,1,0,6.00,1.00,180.00,2,0,-7.73,-0.59,172.31,2,1,-7.00,2.00,180.00
0.10,1,0,6.00,1.00,180.00,2,0,-7.73,-0.61,172.26,2,1,-7.00,2.00,180.00
0.15,1,0,6.00,1.00,180.00,2,0,-7.73,-0.62,172.21,2,1,-7.00,2.00,180.00
0.19,1,0,6.00,1.00,180.00,2,0,-7.73,-0.64,172.16,2,1,-7.00,2.00,180.00
0.25,1,0,6.00,1.00,180.00,2,0,-7.73,-0.66,172.11,2,1,-7.00,2.00,180.00
0.30,1,0,6.00,1.00,180.00,2,0,-7.73,-0.67,172.06,2,1,-7.00,2.00,180.00
0.34,1,0,6.00,1.00,180.00,2,0,-7.73,-0.69,172.01,2,1,-7.00,2.00,180.00
0.40,1,0,6.00,1.00,180.00,2,0,-7.73,-0.70,171.96,2,1,-7.00,2.00,180.00
0.44,1,0,6.00,1.00,180.00,2,0,-7.73,-0.72,171.91,2,1,-7.00,2.00,180.00
0.50,1,0,6.00,1.00,180.00,2,0,-7.73,-0.73,171.87,2,1,-7.00,2.00,180.00
0.54,1,0,6.00,1.00,180.00,2,0,-7.73,-0.75,171.82,2,1,-7.00,2.00,180.00
0.59,1,0,6.00,1.00,180.00,2,0,-7.73,-0.77,171.77,2,1,-7.00,2.00,180.00
0.64,1,0,6.00,1.00,180.00,2,0,-7.73,-0.77,171.72,2,1,-7.00,2.00,180.00
0.70,1,0,6.00,1.00,180.00,2,0,-7.74,-0.76,171.67,2,1,-7.00,2.00,180.00
0.75,1,0,6.00,1.00,180.00,2,0,-7.75,-0.74,171.62,2,1,-7.00,2.00,180.00
0.80,1,0,6.00,1.00,180.00,2,0,-7.78,-0.69,171.57,2,1,-7.00,2.00,180.00
0.85,1,0,6.00,1.00,180.00,2,0,-7.81,-0.62,171.52,2,1,-7.00,2.00,180.00
0.90,1,0,6.00,1.00,180.00,2,0,-7.84,-0.52,171.47,2,1,-7.00,2.00,180.00
0.95,1,0,6.00,1.00,180.00,2,0,-7.87,-0.42,171.42,2,1,-7.00,2.00,180.00
1.00,1,0,6.00,1.00,180.00,2,0,-7.90,-0.32,171.37,2,1,-7.00,2.00,180.00
1.05,1,0,6.00,1.00,180.00,2,0,-7.93,-0.22,171.32,2,1,-7.00,2.00,180.00
1.10,1,0,6.00,1.00,180.00,2,0,-7.96,-0.12,171.27,2,1,-7.00,2.00,180.00
1.15,1,0,6.00,1.00,180.00,2,0,-7.99,-0.02,171.22,2,1,-7.00,2.00,180.00
1.19,1,0,6.00,1.00,180.00,2,0,-8.03,0.08,171.18,2,1,-7.00,2.00,180.00
1.25,1,0,6.00,1.00,180.00,2,0,-8.06,0.18,171.13,2,1,-7.00,2.00,180.00
1.30,1,0,6.00,1.00,180.00,2,0,-8.08,0.28,171.08,2,1,-7.00,2.00,180.00
1.35,1,0,6.00,1.00,180.00,2,0,-8.09,0.38,171.03,2,1,-7.00,2.00,180.00
1.40,1,0,6.00,1.00,180.00,2,0,-8.07,0.48,170.98,2,1,-7.00,2.00,180.00
1.44,1,0,6.00,1.00,180.00,2,0,-8.03,0.57,170.93,2,1,-7.00,2.00,180.00
1.50,1,0,6.00,1.00,180.00,2,0,-7.98,0.65,170.88,2,1,-7.00,2.00,180.00
1.55,1,0,6.00,1.00,180.00,2,0,-7.92,0.73,170.83,2,1,-7.00,2.00,180.00
1.60,1,0,6.00,1.00,180.00,2,0,-7.85,0.81,170.78,2,1,-7.00,2.00,180.00
1.64,1,0,6.00,1.00,180.00,2,0,-7.78,0.88,170.73,2,1,-7.00,2.00,180.00
1.70,1,0,6.00,1.00,180.00,2,0,-7.70,0.96,170.68,2,1,-7.00,2.00,180.00
1.74,1,0,6.00,1.00,180.00,2,0,-7.62,1.03,170.63,2,1,-7.00,2.00,180.00
1.80,1,0,6.00,1.00,180.00,2,0,-7.53,1.11,170.58,2,1,-7.00,2.00,180.00
1.84,1,0,6.00,1.00,180.00,2,0,-7.45,1.19,170.53,2,1,-7.00,2.00,180.00
1.90,1,0,6.00,1.00,180.00,2,0,-7.37,1.26,170.48,2,1,-7.00,2.00,180.00
1.94,1,0,6.00,1.00,180.00,2,0,-7.29,1.34,170.44,2,1,-7.00,2.00,180.00
1.99,1,0,6.00,1.00,180.00,2,0,-7.22,1.43,170.39,2,1,-7.00,2.00,180.00
2.05,1,0,6.00,1.00,180.00,2,0,-7.22,1.43,170.34,2,1,-7.00,2.00,180.00
2.10,1,0,6.00,1.00,180.00,2,0,-7.22,1.43,170.29,2,1,-7.00,2.00,180.00
2.14,1,0,6.00,1.00,180.00,2,0,-7.22,1.43,170.24,2,1,-7.00,2.00,180.00
